Date,SP500,DAX,KOSPI,NIKKEI,HSCEI,GOLD
2004-11-18,1183.550048828125,4178.68017578125,875.8400268554688,11082.419921875,4871.18994140625,44.380001068115234
2004-11-19,1170.3399658203125,4134.89013671875,867.030029296875,11082.83984375,4843.72021484375,44.779998779296875
2004-11-22,1177.239990234375,4123.97998046875,849.989990234375,10849.3896484375,4830.9599609375,44.95000076293945
2004-11-24,1181.760009765625,4125.2998046875,872.5599975585938,10872.330078125,4935.06982421875,45.04999923706055
2004-11-26,1182.6500244140625,4154.27001953125,858.1199951171875,10833.75,4934.39013671875,45.290000915527344
2004-11-29,1178.5699462890625,4146.97998046875,865.4000244140625,10977.8896484375,4970.22021484375,45.400001525878906
2004-11-30,1173.8199462890625,4126.0,878.0599975585938,10899.25,4967.43994140625,45.119998931884766
2004-12-01,1191.3699951171875,4186.02978515625,876.7999877929688,10784.25,4942.5,45.380001068115234
2004-12-02,1190.3299560546875,4216.39990234375,884.0999755859375,10973.0703125,4959.77001953125,44.95000076293945
2004-12-03,1191.1700439453125,4208.8701171875,882.5499877929688,11074.8896484375,4896.66015625,45.599998474121094
2004-12-06,1190.25,4193.91015625,870.75,10981.9599609375,4920.52978515625,45.16999816894531
2004-12-07,1177.0699462890625,4212.6201171875,861.0700073242188,10873.6298828125,4879.669921875,45.11000061035156
2004-12-08,1182.81005859375,4201.35009765625,871.739990234375,10941.3701171875,4781.02001953125,44.0099983215332
2004-12-09,1189.239990234375,4150.41015625,861.3099975585938,10776.6298828125,4789.2099609375,43.779998779296875
2004-12-10,1188.0,4174.5498046875,844.8499755859375,10756.7998046875,4693.64013671875,43.439998626708984
2004-12-13,1198.6800537109375,4219.240234375,844.2000122070312,10789.25,4679.33984375,43.90999984741211
2004-12-14,1203.3800048828125,4231.2998046875,849.4000244140625,10915.580078125,4720.669921875,43.54999923706055
2004-12-15,1205.719970703125,4213.68994140625,868.8400268554688,10956.4599609375,4779.5400390625,43.9900016784668
2004-12-16,1203.2099609375,4233.7099609375,873.7000122070312,10924.3701171875,4762.919921875,43.68000030517578
2004-12-17,1194.199951171875,4182.27001953125,875.1300048828125,11078.3203125,4778.85986328125,44.189998626708984
2004-12-20,1194.6500244140625,4211.5498046875,884.3099975585938,11103.419921875,4808.47998046875,44.34000015258789
2004-12-21,1205.449951171875,4214.39013671875,882.8200073242188,11125.919921875,4786.06005859375,44.220001220703125
2004-12-22,1209.5699462890625,4241.27978515625,883.3800048828125,11209.4404296875,4762.39990234375,44.02000045776367
2004-12-28,1213.5400390625,4261.7900390625,878.4299926757812,11424.1298828125,4776.97021484375,44.369998931884766
2004-12-29,1213.449951171875,4247.75,884.27001953125,11381.5595703125,4787.419921875,43.65999984741211
2004-12-30,1213.550048828125,4256.080078125,895.9199829101562,11488.759765625,4708.509765625,43.83000183105469
2005-01-04,1188.050048828125,4290.5,886.9000244140625,11517.75,4697.75,42.7400016784668
2005-01-05,1183.739990234375,4258.240234375,885.1900024414062,11437.51953125,4564.97998046875,42.66999816894531
2005-01-06,1187.8900146484375,4300.93994140625,871.280029296875,11492.259765625,4538.77001953125,42.150001525878906
2005-01-07,1186.18994140625,4316.39990234375,870.8400268554688,11433.240234375,4513.02978515625,41.84000015258789
2005-01-11,1182.989990234375,4258.009765625,884.2899780273438,11539.990234375,4545.85009765625,42.209999084472656
2005-01-12,1187.699951171875,4208.81982421875,880.030029296875,11453.3896484375,4578.72998046875,42.599998474121094
2005-01-13,1177.449951171875,4212.14013671875,885.5399780273438,11358.2197265625,4588.10009765625,42.599998474121094
2005-01-14,1184.52001953125,4232.35986328125,905.0999755859375,11438.3896484375,4540.60009765625,42.31999969482422
2005-01-18,1195.97998046875,4250.7099609375,920.5700073242188,11423.259765625,4646.75,42.31999969482422
2005-01-19,1184.6300048828125,4245.5498046875,916.27001953125,11405.33984375,4656.8701171875,42.2599983215332
2005-01-20,1175.4100341796875,4220.43017578125,909.3699951171875,11284.76953125,4616.02978515625,42.25
2005-01-21,1167.8699951171875,4213.7001953125,919.6099853515625,11238.3701171875,4566.740234375,42.7400016784668
2005-01-24,1163.75,4201.89013671875,923.1099853515625,11289.490234375,4545.5498046875,42.77000045776367
2005-01-25,1168.4100341796875,4233.9501953125,915.0999755859375,11276.91015625,4617.31982421875,42.2400016784668
2005-01-26,1174.0699462890625,4214.1201171875,927.0,11376.5703125,4679.52001953125,42.689998626708984
2005-01-27,1174.550048828125,4216.41015625,924.8699951171875,11341.3095703125,4692.81982421875,42.619998931884766
2005-01-28,1171.3599853515625,4201.81005859375,921.5900268554688,11320.580078125,4711.8798828125,42.689998626708984
2005-01-31,1181.27001953125,4254.85009765625,932.7000122070312,11387.58984375,4721.52001953125,42.220001220703125
2005-02-01,1189.4100341796875,4279.97021484375,923.6900024414062,11384.400390625,4675.85986328125,42.099998474121094
2005-02-02,1193.18994140625,4296.31005859375,921.4400024414062,11407.1396484375,4717.669921875,42.15999984741211
2005-02-03,1189.8900146484375,4281.64013671875,928.7899780273438,11389.349609375,4720.14990234375,41.68000030517578
2005-02-04,1203.030029296875,4339.27978515625,933.5499877929688,11360.400390625,4750.72021484375,41.470001220703125
2005-02-07,1201.719970703125,4366.35009765625,949.1900024414062,11499.8603515625,4840.259765625,41.27000045776367
2005-02-14,1206.1400146484375,4386.39990234375,964.7899780273438,11632.2001953125,4904.9599609375,42.54999923706055
2005-02-15,1210.1199951171875,4402.02978515625,968.8800048828125,11646.490234375,4932.72998046875,42.58000183105469
